"Affiliation","City","State","Country","Longitude","Latitude","Coded Location","Geocoded","England _ km","England _Emissions","Cape Town _ km","Cape Town _Emissions"
NA,"Philadelphia",NA,"United States of America",-75.1652215,39.9525839,"philadelphia, pa, usa","Yes",11112.9523172188,1.7097818340819,25234.8514026341,3.88250478202158
NA,"Philadelphia",NA,"United States of America",-75.1652215,39.9525839,"philadelphia, pa, usa","Yes",11112.9523172188,1.7097818340819,25234.8514026341,3.88250478202158
NA,"Philadelphia",NA,"United States of America",-75.1652215,39.9525839,"philadelphia, pa, usa","Yes",11112.9523172188,1.7097818340819,25234.8514026341,3.88250478202158
NA,"Philadelphia",NA,"United States of America",-75.1652215,39.9525839,"philadelphia, pa, usa","Yes",11112.9523172188,1.7097818340819,25234.8514026341,3.88250478202158
NA,"Philadelphia",NA,"United States of America",-75.1652215,39.9525839,"philadelphia, pa, usa","Yes",11112.9523172188,1.7097818340819,25234.8514026341,3.88250478202158
NA,"Philadelphia",NA,"United States of America",-75.1652215,39.9525839,"philadelphia, pa, usa","Yes",11112.9523172188,1.7097818340819,25234.8514026341,3.88250478202158
NA,"Philadelphia",NA,"United States of America",-75.1652215,39.9525839,"philadelphia, pa, usa","Yes",11112.9523172188,1.7097818340819,25234.8514026341,3.88250478202158
NA,"Corvallis",NA,"United States of America",-123.2620435,44.5645659,"corvallis, or, usa","Yes",15896.0762541814,2.44568874559716,33095.6949757997,5.09193384806132
NA,"Corvallis",NA,"United States of America",-123.2620435,44.5645659,"corvallis, or, usa","Yes",15896.0762541814,2.44568874559716,33095.6949757997,5.09193384806132
NA,"Corvallis",NA,"United States of America",-123.2620435,44.5645659,"corvallis, or, usa","Yes",15896.0762541814,2.44568874559716,33095.6949757997,5.09193384806132
NA,"Corvallis",NA,"United States of America",-123.2620435,44.5645659,"corvallis, or, usa","Yes",15896.0762541814,2.44568874559716,33095.6949757997,5.09193384806132
NA,"Corvallis",NA,"United States of America",-123.2620435,44.5645659,"corvallis, or, usa","Yes",15896.0762541814,2.44568874559716,33095.6949757997,5.09193384806132
NA,"Corvallis",NA,"United States of America",-123.2620435,44.5645659,"corvallis, or, usa","Yes",15896.0762541814,2.44568874559716,33095.6949757997,5.09193384806132
NA,"Corvallis",NA,"United States of America",-123.2620435,44.5645659,"corvallis, or, usa","Yes",15896.0762541814,2.44568874559716,33095.6949757997,5.09193384806132
NA,NA,NA,"Total:",NA,NA,NA,"No",NA,NA,NA,NA
